srcid,IntDate,Mode,Q1_CF_Order,Q1,Q2,Q2_Oth,Q3,Q3_Oth,Q4,Q4_Oth,Q5i_DUM,Q5i_Order,Q5a,Q5b,Q5ii_DUM,Q5ii_Order,Q5c,Q5d,Q5e,Q5f,Q6_Order,Q6a,Q6b,Q6c,Q6d,Q7_Order,Q7a,Q7b,Q7c,Q7d,Q7e,Q8_CF_Order,Q8_Order,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q8g,Q8h,Q9_DUM,Q9a_CLICK,Q9b_CLICK,Q9c_CLICK,Q10_Order,Q10a,Q10b,Q10c,Q10d,module,Q11_DUM,Q11,Q11_CLICK,Q11a,Q11b,Q12,Q13_Order,Q13a,Q13b,Q13c,Q13d,Q13e,Q13f,Q14,Q15,E_ORDER,Q16,Q17a,Q17b,Q17c,Q17d,Q17e,Q17f,Q18,Q19a,Q19b,Q19c,Q19d,Q19e,Q19f,Q19g,Sect_0_time,Sect_1_time,Sect_2_time,Sect_3_time,Sect_4_time,Sect_5_time,Sect_6_time,Sect_7_time,Sect_8_time,Sect_9_time,Sect_10_time,Sect_11_time,Sect_12_time,Sect_13_time,Sect_14_time,Sect_15_time,Sect_16_time,p_state,p_region,p_geography,p_seifa,p_gender,p_age,p_age_group,p_birthgroup,p_citizen,p_lote,p_atsi,p_house_str,p_schooling,p_education,p_phone,sDevType,fDevType,sOSName,fOSName,wt_agehedu12,wt_geography,wt_internet,wt_sex,wt_tel,wt_volunteer,wt_design,wt_propensit,wt_base,wt_wave,weight,StateMap,p_gender_sdc,p_age_group_sdc,p_education_sdc
32,14-OCT-18,2,2,2,19, ,16, ,3, ,2,"a, b",2,2,3,"e, c, d, f",2,2,2,2,"c, a, b, d",3,4,4,4,"d, c, b, a, e",3,3,3,4,2,2,"g, b, h, f, a, e, c, d",9,8,5,5,9,6,6,9,2, ,0, ,"c, a, b, d",2,2,5,2,2, , , , , , , , , , , , , , , ,1,3,3,3,3,2,3,3,2,3,3,2,3,3,3,3,1.2,.916666666666667,.7,.633333333333333,.85,.333333333333334,.516666666666667,.333333333333333, , , , , ,.666666666666667,.583333333333333,1.3,.233333333333334,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,12,12,-99,-99,1,-99,3,1,4695.4258,1.1148816830374,5276.69204175994,1067.14222727273,.120182631910845,1,2,3,1
275,09-OCT-18,2,2,2,11, ,12, ,1, ,3,"b, a",4,4,2,"d, f, e, c",2,2,1,1,"b, d, c, a",2,2,2,2,"a, d, c, e, b",1,1,3,1,2,0,"f, c, h, d, a, e, b, g",3,3,2,1,2,3,1,4,3, , ,0,"b, d, c, a",4,4,4,1,1,1,3,0,2, ,1,"d, f, e, a, c, b",2,1,2,1,2,2,3,2, , , , , , , , , , , , , , , , ,.75,1.23333333333333,.45,.65,.8,.466666666666667,.633333333333333,.216666666666667,.283333333333333,.933333333333334, ,.416666666666667,.199999999999999, , , , ,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,2,6,6,-99,-99,1,-99,3,1,4997.3515,1.05256334585963,5302.07816812345,1135.76170454545,.127910626519454,1,2,4,1
1180,10-OCT-18,2,2,2,-99, , , ,3, ,2,"b, a",2,2,2,"d, f, e, c",3,2,3,3,"b, d, c, a",-99,4,3,4,"e, a, c, b, d",3,3,3,3,2,1,"b, f, g, e, a, c, d, h",2,2,2,2,3,2,2,2,1,0, , ,"b, d, c, a",4,4,4,4,1,3,2,0,2, ,4,"d, b, e, a, c, f",1,1,1,1,1,1,4,3, , , , , , , , , , , , , , , , ,2.65,1.73333333333333,1.26666666666667,1.13333333333333,1.66666666666667,.416666666666668,1.08333333333333,.4,.23,1.43333333333333, ,.65,.449999999999999, , , , ,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,1,1,-99,-99,1,-99,3,2,16529.8031,1.05256334585963,17537.7513748811,33341.5431808278,3.7549581574349,1,2,3,3
1600,12-OCT-18,2,2,2,19, ,29, ,3, ,1,"b, a",2,2,1,"f, e, d, c",1,2,2,3,"d, c, b, a",4,2,2,2,"b, e, c, a, d",1,1,1,1,1,2,"h, c, f, d, b, a, e, g",4,5,5,1,5,4,3,7,3, , ,0,"d, c, b, a",4,1,1,1,1,2,1,0, ,2,2,"f, a, d, b, c, e",-98,2,2,1,1,2,2,1, , , , , , , , , , , , , , , , ,1.05,1.51666666666667,.816666666666667,.716666666666667,.966666666666667,.566666666666666,.783333333333333,.216666666666667,.4, ,3.16666666666667,.35,.100000000000001, , , , ,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,1,1,-99,-99,1,-99,3,2,6108.623,1.20561803337607,7423.53986159807,5172.42197267721,.582523369559212,1,2,4,2
840,10-OCT-18,2,2,4,16, ,13, ,3, ,2,"a, b",2,1,3,"e, d, f, c",1,1,2,1,"c, b, d, a",3,2,2,2,"b, a, d, c, e",1,2,2,1,1,0,"g, c, d, b, f, e, h, a",7,3,8,3,8,4,8,8,1,0, , ,"c, b, d, a",2,2,4,1,1,3,3,0,2, ,2,"c, f, d, a, b, e",2,1,2,2,2,2,2,3, , , , , , , , , , , , , , , , ,1.63333333333333,1.15,.683333333333334,.65,.916666666666667,.166666666666666,.633333333333334,.733333333333333,.6,.916666666666666, ,.233333333333334,.1, , , , ,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,12,12,-99,-99,1,-99,3,2,4997.3515,1.05256334585963,5302.07816812345,3420.81622138901,.38525576653502,1,1,4,2
1483,12-OCT-18,2,1,2,11, ,1, ,2, ,1,"b, a",2,2,1,"f, e, d, c",1,2,2,2,"d, c, b, a",3,4,3,2,"c, b, e, d, a",2,2,3,2,2,2,"h, d, f, c, b, g, e, a",8,7,6,1,5,5,3,7,1,0, , ,"d, c, b, a",2,2,2,2,2, , , , , , , , , , , , , , , ,1,3,3,4,3,3,4,3,2,3,3,2,3,3,3,3,1.45,1.15,.566666666666666,.75,1.5,.533333333333333,.666666666666667,1.48333333333333, , , , , ,.883333333333333,1.45,1.36666666666667,.216666666666667,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,1,1,-99,-99,1,-99,3,2,5453.4699,1.1148816830374,6128.57756612987,9221.0843972842,1.03848780754359,1,2,3,2
3,13-OCT-18,1,2,4,5, ,16, ,1, ,3,"a, b",4,2,1,"e, c, f, d",1,1,1,1,"c, a, d, b",2,2,2,2,"b, c, a, e, d",1,1,1,1,1, ,"g, b, a, d, c, e, f, h",5,3,3,1,4,4,3,4,1, , , ,"c, a, d, b",4,4,5,5,2, , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,.916666666666667,1.58333333333333,1.05,1.05,1.33333333333333,.433333333333333,.850000000000001,.75, , , , , ,1.33333333333333,1.1,2.08333333333333,.383333333333335,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-1,-1,-1,-1,-99,-99,1,-99,3,1,4695.4258,1.05256334585963,4981.74175345152,3568.69103457674,.401909576859484,1,2,3,3
1635,13-OCT-18,2,1,2,2, ,11, ,3, ,3,"b, a",2,2,1,"f, e, d, c",2,2,2,2,"d, c, b, a",4,4,3,4,"b, d, a, e, c",2,2,2,2,2,2,"h, c, d, e, g, f, a, b",4,4,3,2,5,5,4,7,2, ,0, ,"d, c, b, a",4,4,4,2,2, , , , , , , , , , , , , , , ,1,2,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3.78333333333333,1.56666666666667,1.56666666666667,1.13333333333333,1.4,.866666666666665,.950000000000001,1.55, , , , , ,2.11666666666667,1.18333333333333,1.58333333333333,.133333333333333,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,12,12,-99,-99,1,-99,3,2,4997.3515,1.20561803337607,6073.06066566343,8824.3324989407,.993805209348218,1,1,3,2
1604,13-OCT-18,1,2,2,13, ,6, ,3, ,1,"a, b",2,2,2,"c, d, f, e",1,1,2,1,"a, b, d, c",5,5,2,5,"b, a, c, e, d",1,1,1,2,1, ,"e, h, c, a, f, g, d, b",6,6,8,2,6,6,5,6,2, , , ,"a, b, d, c",4,4,4,4,1,1,1, , ,2,1,"c, f, a, b, d, e",1,-98,1,1,1,1,3,3, , , , , , , , , , , , , , , , ,1.56666666666667,1.5,2.28333333333333,1.1,1.7,.616666666666667,1.55,1.83333333333333,1.9, ,1.91666666666667,.816666666666666,.166666666666664, , , , ,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-1,-1,-1,-1,-99,-99,2,-99,3,2,6197.6653,1.20561803337607,7531.74903794082,27269.72732,3.0711441427864,1,2,4,3
21,13-OCT-18,1,2,4,11, ,11, ,2, ,2,"b, a",1,1,1,"f, c, e, d",1,1,-98,1,"d, a, c, b",5,2,5,4,"d, a, e, c, b",4,1,1,1,1, ,"d, c, a, g, e, b, h, f",6,9,5,1,8,5, ,9,1, , , ,"d, a, c, b",1,1,3,1,1,2,2, ,2, ,2,"b, a, e, f, d, c",2,2,2,2,-98,2,1,3, , , , , , , , , , , , , , , , ,1.98333333333333,1.58333333333333,1.1,1.28333333333333,2.4,.533333333333333,.816666666666666,1.25,1.43333333333333,2.03333333333333, ,1.1,.383333333333333, , , , ,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-1,-1,-1,-1,-99,-99,1,-99,3,2,4100.608,1.41287198771999,5839.9490171056,8786.81263009188,.989579683947799,1,2,3,3
2023,16-OCT-18,2,1,2,1, ,20, ,-98, ,1,"b, a",2,2,1,"d, c, f, e",2,2,1,1,"b, a, d, c",4,4,3,3,"a, d, e, b, c",3,3,4,4,4,2,"f, g, d, h, b, c, a, e",9,9,9,8,9,9,9,9,3, , ,0,"b, a, d, c",1,2,2,4,2, , , , , , , , , , , , , , , ,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,1.48333333333333,1.56666666666667,.716666666666666,1.51666666666667,1.3,.550000000000001,.949999999999999,1.23333333333333, , , , , ,.666666666666668,.116666666666665,1.45,.85,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,12,12,-99,-99,1,-99,3,2,4997.3515,1.05256334585963,5302.07816812345,9205.63416120813,1.0367477864032,1,2,3,2
1789,13-OCT-18,2,2,4,11, ,11, ,4, ,1,"a, b",3,2,1,"e, d, c, f",2,2,2,3,"c, b, a, d",4,3,3,3,"d, b, a, e, c",2,2,2,2,1,1,"c, f, a, b, e, g, h, d",5,5,5,1,8,5,2,5,1,0, , ,"c, b, a, d",4,4,4,2,1,2,3,0,2, ,3,"a, d, c, f, b, e",2,1,2,1,2,1,3,3, , , , , , , , , , , , , , , , ,.766666666666667,1.8,.916666666666667,.916666666666667,1.1,.550000000000001,.483333333333333,1.05,.766666666666668,1.63333333333333, ,.4,.1, , , , ,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,12,12,-99,-99,1,-99,1,2,4997.3515,1.20561803337607,6073.06066566343,2715.85369610525,.305862177262814,1,2,3,3
780,10-OCT-18,2,1,2,16, ,11, ,96, ,1,"a, b",2,1,2,"e, c, d, f",2,2,2,2,"c, a, b, d",2,3,2,2,"d, c, b, e, a",2,2,1,3,2,0,"g, b, h, e, d, c, f, a",6,6,6,1,6,1,1,8,1,0, , ,"c, a, b, d",2,4,4,2,1,3,1,0, ,2,2,"e, d, b, c, f, a",2,1,2,1,1,2,3,-98, , , , , , , , , , , , , , , , ,1.31666666666667,1.2,.816666666666666,.933333333333333,1.48333333333333,.483333333333333,.716666666666667,.350000000000001,.35, ,1.7,.866666666666667,.366666666666667, , , , ,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,6,6,-99,-99,1,-99,3,1,4695.4258,1.05256334585963,4981.74175345152,3568.69103457674,.401909576859484,1,2,4,3
859,10-OCT-18,2,2,2,28, ,28, ,96, ,2,"b, a",2,2,3,"f, d, c, e",4,2,4,2,"d, b, a, c",4,4,4,3,"b, d, a, e, c",4,3,3,3,3,0,"d, e, a, h, b, f, c, g",9,8,5,3,8,7,6,9,3, , ,0,"d, b, a, c",4,4,4,4,1,3,1,0, ,2,2,"b, f, c, d, e, a",2,1,2,2,2,2,3,3, , , , , , , , , , , , , , , , ,1.71666666666667,1.21666666666667,1.43333333333333,1.38333333333333,.8,.1,.666666666666667,.183333333333334,.416666666666667, ,1.18333333333333,.266666666666666,.1, , , , ,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,12,12,-99,-99,1,-99,3,2,4695.4258,1.1148816830374,5276.69204175994,8496.87811288851,.956926966747812,1,2,2,1
733,11-OCT-18,2,1,2,4, ,96,Freedom of Speech,1, ,1,"a, b",1,1,1,"e, c, f, d",1,1,1,1,"c, a, d, b",4,4,4,4,"d, b, c, e, a",2,2,2,3,2,1,"c, h, g, f, b, a, e, d",7,7,6,7,7,7,7,7,1,0, , ,"c, a, d, b",2,4,2,4,1,3,2,0,1, ,3,"c, d, f, b, e, a",1,1,1,1,2,2,2,3, , , , , , , , , , , , , , , , ,1.33333333333333,.583333333333333,.35,.433333333333333,.466666666666667,.216666666666667,.35,.15,.23,.516666666666667, ,.2,.1, , , , ,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,12,12,-99,-99,1,-99,3,1,5614.828,1.1148816830374,6309.91085482618,7363.45067531676,.829279227724806,1,1,2,1
2355,17-OCT-18,1,1,1,1, ,13, ,1, ,1,"b, a",1,2,1,"f, d, c, e",2,1,1,1,"d, b, a, c",5,5,5,5,"a, c, e, b, d",3,1,4,2,2, ,"h, c, a, f, g, e, d, b",9,9,9,1,8,8,5,10,1, , , ,"d, b, a, c",4,5,5,5,2, , , , , , , , , , , , , , , ,2,3,1,3,3,3,4,4,2,1,4,1,4,3,2,3,1.11666666666667,1.61666666666667,.883333333333333,1.1,.916666666666667,.45,.75,1.4, , , , , ,1.05,.4,1.76666666666667,.800000000000001,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-1,-1,-1,-1,-99,-99,1,-99,3,1,3757.6405,1.20561803337607,4566.49461544857,1392.93972879938,.156874274508026,1,2,4,3
750,10-OCT-18,2,2,5,19, ,16, ,1, ,1,"a, b",2,2,1,"e, c, d, f",2,2,2,2,"c, a, b, d",3,3,3,2,"d, b, e, a, c",2,2,2,2,2,0,"g, d, b, c, f, a, e, h",3,3,3,1,4,3,3,4,1,0, , ,"c, a, b, d",4,4,4,4,2, , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,5.9,1.4,3.01666666666667,2.03333333333334,1.2,.366666666666667,.733333333333333,1.23333333333333, , , , , ,1.25,.183333333333334,1.45,1.25,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,6,6,-99,-99,1,-99,3,2,4695.4258,1.41287198771999,6687.06867020751,13917.0028954988,1.56734687612023,1,1,3,2
1538,12-OCT-18,2,1,2,-98, , , ,96, ,2,"a, b",2,3,2,"c, e, f, d",2,2,2,2,"a, c, d, b",3,2,3,2,"c, d, e, a, b",1,1,3,2,2,1,"e, a, c, h, f, d, g, b",2,4,2,1,1,5,2,7,2, ,0, ,"a, c, d, b",4,4,4,2,1,1,3,0,2, ,2,"a, c, e, f, d, b",2,2,1,1,1,1,3,1, , , , , , , , , , , , , , , , ,1.1,2.48333333333333,1.8,1.36666666666667,1.73333333333333,.583333333333332,1.08333333333333,1.28333333333333,.800000000000001,1.81666666666667, ,.35,.283333333333333, , , , ,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,12,12,-99,-99,1,-99,3,2,5453.4699,1.05256334585963,5786.00958874083,5999.35884916613,.675653833053815,1,2,3, 
2607,21-OCT-18,1,2,2,16, ,2, ,1, ,3,"b, a",3,1,3,"d, e, c, f",1,2,2,1,"b, c, a, d",3,3,3,2,"b, e, c, d, a",2,2,2,2,1, ,"f, c, g, e, d, a, b, h",7,7,6,6,8,6,6,7,2, , , ,"b, c, a, d",2,4,4,1,1,3,1, , ,2,2,"f, b, c, e, d, a",1,1,1,1,-98,1,3,2, , , , , , , , , , , , , , , , ,1.31666666666667,1.8,1.53333333333333,1.11666666666667,1.2,.533333333333333,1.13333333333333,1.33333333333333,1.16666666666667, ,1.88333333333333,.666666666666666,.216666666666667, , , , ,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-1,-1,-1,-1,-99,-99,1,-99,3,2,3530.6146,1.05256334585963,3745.90312302785,4095.33987828498,.46122129980706,1,2,4,3
1052,13-OCT-18,1,2,3,36, ,16, ,8, ,3,"b, a",2,2,3,"d, c, f, e",2,2,1,1,"b, a, d, c",4,3,2,2,"d, e, b, c, a",2,2,2,1,1, ,"f, e, b, a, c, h, g, d",5,5,3,2,4,4,2,4,3, , , ,"b, a, d, c",3,4,4,4,2, , , , , , , , , , , , , , , ,1,2,2,2,3,2,3,3,2,2,2,2,3,2,3,3,1.96666666666667,2.18333333333333,1.2,1.25,1.75,.616666666666667,.866666666666665,.966666666666667, , , , , ,1.58333333333333,1.45,1.66666666666667,.150000000000002,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-1,-1,-1,-1,-99,-99,1,-99,3,2,5854.284,2.70068857266259,15936.989265019,17423.6720847376,1.96227149032134,1,2,4,3
977,10-OCT-18,2,1,4,11, ,35, ,3, ,1,"a, b",1,1,1,"c, e, f, d",1,1,1,1,"a, c, d, b",3,2,3,2,"d, a, b, c, e",2,2,1,2,1,0,"a, b, e, d, g, f, h, c",2,2,1,1,3,1,2,5,3, , ,0,"a, c, d, b",5,5,5,1,1,1,1,0, ,2,1,"c, d, f, b, e, a",1,1,2,2,1,2,2,3, , , , , , , , , , , , , , , , ,3.56666666666667,1.98333333333333,1.66666666666667,.999999999999999,1.15,.933333333333334,.666666666666666,.300000000000001,.666666666666666, ,2.03333333333333,.4,.283333333333333, , , , ,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,12,12,-99,-99,1,-99,3,2,4593.2348,1.1148816830374,5161.8503938652,1515.80304939659,.170711265358268,1,2,4,1
466,09-OCT-18,1,2,4,13, ,16, ,1, ,3,"a, b",3,3,1,"e, d, c, f",2,2,2,2,"c, b, a, d",4,4,5,2,"b, a, e, c, d",3,2,3,3,1, ,"g, e, h, a, b, d, f, c",5,5,2,2,8,3,7,2,3, , , ,"c, b, a, d",2,4,4,2,1,3,2, ,1, ,2,"c, a, f, b, d, e",1,2,1,2,1,2,2,3, , , , , , , , , , , , , , , , ,1.11666666666667,2.06666666666667,1.46666666666667,1.4,1.71666666666667,.616666666666667,.983333333333333,1.41666666666667,1.3,1.6, ,.666666666666668,.466666666666667, , , , ,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-1,-1,-1,-1,-99,-99,1,-99,3,1,7573.64,1.20561803337607,9203.91034728999,2807.51286548677,.316184925190413,1,2,4,3
537,09-OCT-18,1,2,4,13, ,1, ,1, ,1,"a, b",2,2,1,"c, d, f, e",2,1,2,1,"a, b, d, c",5,3,4,3,"a, c, b, e, d",3,1,2,3,3, ,"a, d, e, g, f, b, c, h",8,8,9,6,8,8,8,9,2, , , ,"a, b, d, c",2,2,4,1,2, , , , , , , , , , , , , , , ,1,2,2,2,2,1,1,3,2,3,3,1,3,2,4,3,1.15,1.48333333333333,1.08333333333333,1.05,1.36666666666667,.566666666666667,.850000000000001,.883333333333333, , , , , ,1.11666666666667,1.15,1.48333333333333,.183333333333334,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-1,-1,-1,-1,-99,-99,1,-99,3,2,6108.623,1.05256334585963,6481.11237434404,7085.7032578149,.797999033961765,1,2,4,3
1271,11-OCT-18,2,1,4,11, ,16, ,96, ,3,"b, a",3,3,2,"f, c, d, e",2,2,2,2,"d, a, b, c",5,2,2,5,"e, a, b, d, c",1,1,1,3,1,1,"d, f, b, h, g, e, c, a",4,7,7,3,9,3,3,9,3, , ,0,"d, a, b, c",2,2,2,2,1,3,3,0,2, ,2,"f, a, b, d, c, e",2,2,1,1,2,1,4,2, , , , , , , , , , , , , , , , ,6.68333333333333,1.21666666666667,.883333333333333,.783333333333333,1.31666666666667,.333333333333334,.6,.683333333333334,1.16666666666667,.566666666666668, ,.399999999999999,.183333333333334, , , , ,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,8,8,-99,-99,1,-99,3,1,4695.4258,1.41287198771999,6687.06867020751,4884.80473776751,.550131627023909,1,2,2,1
293,09-OCT-18,2,2,2,13, ,16, ,-98, ,2,"b, a",1,1,1,"d, f, e, c",1,1,1,1,"b, d, c, a",3,4,4,5,"e, a, d, c, b",2,2,3,3,3,0,"b, g, d, c, a, f, e, h",7,8,5,6,7,5,6,7,3, , ,0,"b, d, c, a",2,2,2,2,2, , , , , , , , , , , , , , , ,1,2,2,2,3,3,3,2,3,2,2,2,3,4,3,3,3.83333333333333,2.63333333333333,.616666666666666,4.15,1.51666666666667,.416666666666668,.933333333333334,15, , , , , ,1.5,1.31666666666667,1.11666666666667,.100000000000001,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,12,12,-99,-99,1,-99,3,1,4695.4258,1.20561803337607,5706.14369121748,4687.75304887429,.527939467451902,2,2,2,1
2498,20-OCT-18,2,1,4,16, ,30, ,1, ,2,"a, b",2,2,3,"c, f, d, e",2,2,2,2,"a, d, b, c",3,3,3,3,"a, b, c, d, e",4,4,4,4,4,1,"a, b, f, e, c, d, g, h",5,5,3,2,7,3,1,10,2, ,0, ,"a, d, b, c",4,4,4,4,2, , , , , , , , , , , , , , , ,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1.55,.7,.433333333333333,.666666666666667,.7,.1,.3,.266666666666667, , , , , ,.783333333333333,.533333333333333,.466666666666667,.1,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,12,12,-99,-99,1,-99,3,2,6108.623,1.20561803337607,7423.53986159807,19848.1103221593,2.23531416526383,2,1,2,2
656,09-OCT-18,2,2,2,19, ,33, ,3, ,2,"a, b",3,3,1,"e, c, d, f",2,1,2,2,"c, a, b, d",1,1,2,1,"e, b, c, d, a",1,1,2,2,1,0,"c, d, f, b, e, a, h, g",3,4,3,1,5,3,1,1,1,0, , ,"c, a, b, d",4,4,4,1,1,1,1,0, ,2,3,"a, c, d, e, b, f",2,2,2,-98,1,-98,1,3, , , , , , , , , , , , , , , , ,13.8333333333333,2.53333333333333,1.65,1.45,3.35,.650000000000002,1.01666666666667,.433333333333334,.383333333333333, ,2.95,.816666666666666,.133333333333336, , , , ,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,6,6,-99,-99,1,-99,1,1,4997.3515,1.05256334585963,5302.07816812345,1135.76170454545,.127910626519454,2,1,4,1
1324,11-OCT-18,1,2,1,1, ,29, ,1, ,1,"a, b",1,1,1,"c, f, e, d",1,1,1,1,"a, d, c, b",5,4,5,5,"e, b, a, d, c",1,1,3,1,3, ,"a, d, h, e, c, g, f, b",10,4,4,4,8,6,4,5,1, , , ,"a, d, c, b",4,5,4,2,1,3,2, ,1, ,1,"c, f, e, a, d, b",2,1,1,1,1,-98,2,3, , , , , , , , , , , , , , , , ,1.03333333333333,1.31666666666667,1.25,1.16666666666667,1.36666666666667,.45,.933333333333333,1.2,1.1,1.95, ,.666666666666668,.116666666666665, , , , ,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-1,-1,-1,-1,-99,-99,1,-99,3,2,8242.383,2.70068857266259,22438.0589307206,14465.7173737828,1.62914365304686,2,1,4,3
464,09-OCT-18,1,1,5,19, ,19, ,96, ,1,"b, a",2,2,2,"f, c, d, e",1,1,1,1,"d, a, b, c",4,2,2,3,"b, a, e, d, c",3,3,3,4,2, ,"d, g, b, f, e, a, h, c",1,1,1,1,1,1,1,1,1, , , ,"d, a, b, c",5,5,5,1,2, , , , , , , , , , , , , , , ,2,3,3,2,4,3,3,3,3,3,2,1,3,2,3,3,1.1,1.43333333333333,1.23333333333333,1.11666666666667,1.08333333333333,.5,1.58333333333333,1.68333333333333, , , , , ,.883333333333333,.216666666666667,1.76666666666667,.833333333333334,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-1,-1,-1,-1,-99,-99,1,-99,2,1,24794.7047,1.20561803337607,29175.2592862159,25388.4485277281,2.85927263134681,2,1,4,2
199,19-OCT-18,2,2,2,11, ,1, ,1, ,1,"a, b",1,1,2,"c, e, f, d",1,1,1,1,"a, c, d, b",3,3,3,3,"e, c, b, a, d",3,1,1,2,1,1,"e, g, h, c, a, f, d, b",7,5,5,5,5,5,1,8,1,1, , ,"a, c, d, b",4,2,2,2,2, , , , , , , , , , , , , , , ,1,2,2,3,3,2,3,2,4,2,3,2,3,4,3,4,.22,.2,.1,.15,.27,.1,.1,.1, , , , , ,.13,8.91666666666667,.13,.116666666666667,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,6,6,-99,-99,1,-99,3,1,4695.4258,1.05256334585963,4981.74175345152,5449.36627178931,.613713115320711,2,2,2,2
1233,11-OCT-18,1,1,2,1, ,11, ,3, ,1,"b, a",1,1,1,"d, f, c, e",1,1,2,2,"b, d, a, c",2,1,4,4,"d, a, e, b, c",2,2,4,4,1, ,"b, d, a, c, e, f, h, g",7,7,6,2,7,2,7,7,1, , , ,"b, d, a, c",2,4,4,2,2, , , , , , , , , , , , , , , ,1,1,1,2,2,2,2,1,3,4,1,1,3,3,3,3,1.36666666666667,1.83333333333333,1.38333333333333,2.01666666666667,1.78333333333333,.550000000000001,1.1,1.08333333333333, , , , , ,1.63333333333333,1.68333333333333,1.93333333333333,.5,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-1,-1,-1,-1,-99,-99,1,-99,3,1,4695.4258,1.05256334585963,4981.74175345152,1067.14222727273,.120182631910845,2,2,4,1
1428,11-OCT-18,2,1,2,30, ,17, ,3, ,1,"a, b",1,1,1,"c, f, e, d",1,1,1,1,"a, d, c, b",4,2,4,2,"a, d, e, b, c",3,3,4,3,3,1,"a, g, h, d, f, e, b, c",7,7,7,3,7,5,4,9,2, ,0, ,"a, d, c, b",2,2,2,2,2, , , , , , , , , , , , , , , ,1,3,3,3,3,3,4,3,2,3,1,1,1,3,3,3,.833333333333333,.8,.983333333333333,.866666666666667,1.71666666666667,.383333333333334,.516666666666667,.966666666666667, , , , , ,.733333333333333,.733333333333333,1.15,.1,6,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,6,6,-99,-99,1,-99,3,2,4695.4258,1.1148816830374,5276.69204175994,3550.05060551602,.399810272973637,6,2,2,1
