srcid,IntDate,Mode,Q1_CF_Order,Q1,Q2,Q2_Oth,Q3,Q3_Oth,Q4,Q4_Oth,Q5i_DUM,Q5i_Order,Q5a,Q5b,Q5ii_DUM,Q5ii_Order,Q5c,Q5d,Q5e,Q5f,Q6_Order,Q6a,Q6b,Q6c,Q6d,Q7_Order,Q7a,Q7b,Q7c,Q7d,Q7e,Q8_CF_Order,Q8_Order,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q8g,Q8h,Q9_DUM,Q9a_CLICK,Q9b_CLICK,Q9c_CLICK,Q10_Order,Q10a,Q10b,Q10c,Q10d,module,Q11_DUM,Q11,Q11_CLICK,Q11a,Q11b,Q12,Q13_Order,Q13a,Q13b,Q13c,Q13d,Q13e,Q13f,Q14,Q15,E_ORDER,Q16,Q17a,Q17b,Q17c,Q17d,Q17e,Q17f,Q18,Q19a,Q19b,Q19c,Q19d,Q19e,Q19f,Q19g,Sect_0_time,Sect_1_time,Sect_2_time,Sect_3_time,Sect_4_time,Sect_5_time,Sect_6_time,Sect_7_time,Sect_8_time,Sect_9_time,Sect_10_time,Sect_11_time,Sect_12_time,Sect_13_time,Sect_14_time,Sect_15_time,Sect_16_time,p_state,p_region,p_geography,p_seifa,p_gender,p_age,p_age_group,p_birthgroup,p_citizen,p_lote,p_atsi,p_house_str,p_schooling,p_education,p_phone,sDevType,fDevType,sOSName,fOSName,wt_agehedu12,wt_geography,wt_internet,wt_sex,wt_tel,wt_volunteer,wt_design,wt_propensit,wt_base,wt_wave,weight,StateMap,p_gender_sdc,p_age_group_sdc,p_education_sdc
1315,11-OCT-18,2,1,4,16, ,11, ,96, ,3,"b, a",-99,-99,3,"d, c, e, f",-99,-99,-99,-99,"b, a, c, d",-98,2,-98,-98,"c, e, d, b, a",2,2,3,3,2,2,"f, d, c, a, b, h, e, g",3,3,3,3,4,3,3,4,1,0, , ,"b, a, c, d",4,5,5,2,2, , , , , , , , , , , , , , , ,1,2,-98,-98,3,-98,2,-98,2,3,3,3,3,3,3,4,5.08333333333333,4.56666666666667,.633333333333335,1.58333333333333,1.36666666666667,.466666666666667,.449999999999999,.5, , , , , ,3.38333333333333,.850000000000001,1.35,.116666666666667,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,2,1,1,-99,-99,1,-99,3,1,3530.6146,1.05256334585963,3745.90312302785,802.412409090909,.0903684932878409,3,2,4,1
1108,10-OCT-18,2,1,2,-98, , , ,4, ,2,"b, a",1,1,2,"d, e, c, f",1,1,1,1,"b, c, a, d",3,4,3,2,"d, a, c, e, b",2,1,3,3,2,2,"f, d, c, e, h, g, b, a",8,8,8,3,8,4,6,9,1,0, , ,"b, c, a, d",4,5,5,2,2, , , , , , , , , , , , , , , ,2,3,4,2,4,3,3,4,3,3,3,2,3,3,3,4,.35,8.26666666666667,.733333333333334,4.48333333333333,2.18333333333333,1.88333333333334,.633333333333333,1.13333333333333, , , , , ,2.86666666666667,2,.816666666666666,.433333333333334,8,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,12,12,-99,-99,1,-99,3,2,5614.828,2.70068857266259,15285.1234345529,5977.46542074456,.673188173105206,8,2,1,1
172,09-OCT-18,2,1,2,5, ,28, ,3, ,2,"b, a",2,2,2,"f, e, c, d",2,2,2,2,"d, c, a, b",4,4,4,4,"b, a, c, e, d",3,2,3,3,3,0,"d, b, c, g, h, a, e, f",10,7,9,6,10,6,7,9,1,0, , ,"d, c, a, b",2,2,2,1,2, , , , , , , , , , , , , , , ,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.31666666666667,1.43333333333333,.6,.783333333333334,1.16666666666667,.166666666666667,.7,.766666666666667, , , , , ,.666666666666667,.183333333333333,1.08333333333333,.1,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,1,1,-99,-99,1,-99,3,2,5275.5962,1.20561803337607,6411.19916622704,11131.3247725688,1.25362100161726,1,2,2,2
570,09-OCT-18,2,2,2,36, ,11, ,3, ,2,"a, b",1,1,1,"c, d, f, e",2,1,2,2,"a, b, d, c",-98,-98,3,3,"a, d, e, c, b",3,2,3,4,3,0,"e, f, a, g, d, b, c, h",7,8,7,2,8,7,4,7,1,0, , ,"a, b, d, c",2,2,4,4,1,1,2,0,1, ,3,"a, b, f, c, e, d",1,1,2,1,2,2,2,2, , , , , , , , , , , , , , , , ,.566666666666667,.85,.766666666666666,1.03333333333333,1.66666666666667,.183333333333334,.733333333333333,.416666666666666,.533333333333333,1.05, ,.266666666666667,.1, , , , ,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,1,1,-99,-99,1,-99,3,2,5453.4699,2.70068857266259,14845.8618087889,23995.26756,2.70237118826777,2,1,1,1
1230,11-OCT-18,2,2,4,19, ,11, ,10, ,3,"a, b",2,2,1,"c, d, f, e",1,2,3,1,"a, b, d, c",4,4,4,3,"b, a, e, d, c",3,3,2,3,2,1,"a, g, e, h, b, d, c, f",4,6,3,2,4,5,2,7,3, , ,0,"a, b, d, c",5,5,4,2,2, , , , , , , , , , , , , , , ,1,2,2,2,2,2,3,2,2,2,3,2,3,2,3,3,1.11666666666667,1.1,.5,.516666666666667,.95,.25,.683333333333334,.616666666666666, , , , , ,.633333333333334,.35,.983333333333333,.1,5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,12,12,-99,-99,1,-99,3,2,4593.2348,2.70068857266259,12504.062614542,11040.4454426026,1.24338607998966,5,1,2,1
2346,17-OCT-18,1,2,2,1, ,28, ,3, ,2,"a, b",1,1,2,"c, e, f, d",1,1,1,1,"a, c, d, b",5,5,5,1,"d, b, e, a, c",1,1,4,3,1, ,"e, a, h, d, f, c, b, g",2,5,8,3,7,3,5,3,2, , , ,"a, c, d, b",5,1,2,1,1,2,2, ,2, ,4,"e, b, a, f, c, d",2,2,2,2,2,2,1,1, , , , , , , , , , , , , , , , ,1.25,1.11666666666667,.85,.95,.933333333333334,.55,.8,1.13333333333333,1.01666666666667,1.33333333333333, ,.6,.116666666666665, , , , ,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-1,-1,-1,-1,-99,-99,1,-99,1,2,12300.5481,2.70068857266259,29175.2592862159,18752.3950295347,2.111913605969,3,2,3,2
254,09-OCT-18,2,2,4,11, ,36, ,3, ,1,"b, a",1,1,3,"f, c, e, d",2,1,2,2,"d, a, c, b",5,2,3,5,"e, a, d, c, b",1,1,1,1,1,0,"d, g, a, e, b, f, c, h",4,4,1,1,4,4,5,10,2, ,1, ,"d, a, c, b",1,2,4,1,1,3,2,0,1, ,2,"b, a, e, f, c, d",1,1,1,1,2,1,3,3, , , , , , , , , , , , , , , , ,1.55,1.05,.716666666666666,.766666666666667,1.23333333333333,.699999999999999,.683333333333334,.266666666666667,.283333333333333,1.83333333333333, ,.549999999999999,.100000000000001, , , , ,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,12,12,-99,-99,1,-99,3,1,3530.6146,1.05256334585963,3745.90312302785,802.412409090909,.0903684932878409,3,2,4,1
1255,11-OCT-18,2,2,2,1, ,11, ,3, ,1,"b, a",3,3,3,"f, c, d, e",3,2,2,2,"d, a, b, c",4,1,2,1,"e, d, b, c, a",2,1,2,1,1,2,"h, c, b, e, f, a, g, d",5,3,1,1,3,3,1,4,3, , ,0,"d, a, b, c",1,4,5,1,2, , , , , , , , , , , , , , , ,2,2,2,3,3,1,3,2,2,1,1,1,3,2,4,4,.55,1.38333333333333,.7,1.06666666666667,1.68333333333333,.4,.583333333333333,.666666666666667, , , , , ,.800000000000001,.1,.9,.399999999999999,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,1,1,-99,-99,1,-99,1,2,9116.2241,1.41287198771999,12983.0220231998,9355.75055334462,1.05365404560543,1,1,1,1
327,11-OCT-18,2,1,-98,16, ,11, ,-98, ,3,"b, a",2,3,3,"d, c, e, f",1,2,3,2,"b, a, c, d",3,2,2,2,"b, a, e, c, d",3,3,3,4,2,2,"f, e, g, h, d, b, c, a",4,3,1,1,6,1,5,3,1,0, , ,"b, a, c, d",2,2,4,4,2, , , , , , , , , , , , , , , ,2,1,2,3,3,1,3,1,3,4,3,2,3,4,3,4,8.3,2.76666666666667,1.33333333333333,.916666666666666,2.25,1.01666666666667,1.75,2.11666666666667, , , , , ,1.31666666666667,.350000000000001,1.65,1.23333333333333,8,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,1,1,-99,-99,1,-99,1,2,8138.5042,1.20561803337607,9890.36487314462,1849.66004545455,.208310576342931,8,1,2,1
1906,15-OCT-18,2,2,1,1, ,4, ,1, ,1,"b, a",1,1,1,"f, e, c, d",1,1,1,1,"d, c, a, b",4,4,4,5,"c, b, d, a, e",3,3,3,2,2,2,"h, g, e, b, c, d, a, f",9,9,8,6,8,6,9,9,1,0, , ,"d, c, a, b",5,5,4,1,1,3,2,0,1, ,4,"b, c, a, d, e, f",2,1,2,2,2,2,2,3, , , , , , , , , , , , , , , , ,1.31666666666667,.783333333333333,.633333333333333,.716666666666667,1.01666666666667,.216666666666667,.55,.6,.550000000000001,1.51666666666667, ,.233333333333333,.1, , , , ,4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,12,12,-99,-99,1,-99,3,2,4593.2348,1.05256334585963,4873.31938810886,1043.917,.117566983434917,4,1,4,3
