srcid,Mode,Q1,Q2,Q4,Q5a,Q5f,Q6c,Q7a,Q7c,Q8a,Q8d,Q10a,Q10d,Q11,Q11a,Q12,Q14,Q15,Q16,Q18,sDevType,p_gender_sdc,p_age_group_sdc,p_education_sdc,total_time_taken,neutral_count,disagree_count,agree_count,very_count,just_count,vmj_count,opinionated,undecided_voter
2576,"""2""","""2""","""36""","""3""","""4""","""1""","""4""","""3""","""3""",9,5,"""2""","""4""","""2""","""2""","""2""","""3""","""3""","""NaN""","""NaN""","""0""","""2""",2,"""NaN""",12.09999999999999,3,21,13,7,29,-22,False,False
2300,"""2""","""2""","""1""","""2""","""4""","""1""","""3""","""3""","""3""",6,1,"""2""","""4""","""3""","""1""","""2""","""4""","""3""","""NaN""","""NaN""","""0""","""1""",3,"""1""",12.066666666666665,4,18,15,6,30,-24,False,False
650,"""2""","""2""","""13""","""100""","""2""","""1""","""4""","""4""","""3""",9,2,"""4""","""4""","""2""","""1""","""2""","""3""","""1""","""NaN""","""NaN""","""0""","""1""",3,"""3""",17.8,2,22,13,8,28,-20,False,False
294,"""2""","""4""","""5""","""-98""","""2""","""2""","""5""","""1""","""1""",3,1,"""2""","""1""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""1""","""1""","""0""","""2""",3,"""NaN""",11.866666666666676,8,27,19,14,40,-26,False,True
269,"""1""","""4""","""16""","""100""","""2""","""2""","""1""","""2""","""1""",6,4,"""2""","""2""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""3""","""2""","""-1""","""1""",3,"""2""",23.10000000000001,3,42,9,6,48,-42,False,False
334,"""2""","""4""","""32""","""3""","""2""","""1""","""1""","""2""","""2""",1,1,"""2""","""1""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""3""","""2""","""1""","""1""",2,"""1""",14.966666666666672,6,37,11,22,32,-10,False,False
905,"""2""","""4""","""16""","""3""","""1""","""1""","""2""","""2""","""1""",3,1,"""2""","""1""","""2""","""1""","""2""","""3""","""3""","""NaN""","""NaN""","""2""","""1""",4,"""1""",16.68333333333333,4,24,7,14,20,-6,False,False
362,"""2""","""4""","""16""","""-98""","""2""","""2""","""3""","""2""","""2""",3,1,"""2""","""2""","""1""","""2""","""3""","""2""","""3""","""NaN""","""NaN""","""1""","""2""",2,"""NaN""",10.9,2,28,7,5,31,-26,False,True
1746,"""2""","""2""","""2""","""-98""","""1""","""1""","""4""","""3""","""3""",8,1,"""2""","""2""","""2""","""1""","""3""","""3""","""2""","""NaN""","""NaN""","""1""","""1""",3,"""1""",26.283333333333324,1,28,6,13,21,-8,False,True
2343,"""2""","""4""","""16""","""-98""","""1""","""2""","""3""","""2""","""2""",,4,"""2""","""2""","""3""","""2""","""2""","""4""","""3""","""NaN""","""NaN""","""0""","""1""",4,"""3""",12.783333333333342,4,28,3,4,30,-26,False,True
943,"""2""","""2""","""36""","""1""","""2""","""1""","""2""","""2""","""2""",4,1,"""2""","""1""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""2""","""3""","""0""","""1""",1,"""1""",29.583333333333343,6,37,11,5,49,-44,False,False
463,"""1""","""2""","""1""","""1""","""1""","""1""","""4""","""2""","""2""",5,7,"""4""","""1""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""2""","""3""","""-1""","""2""",4,"""3""",18.299999999999994,6,40,8,18,36,-18,False,False
1813,"""2""","""1""","""37""","""3""","""2""","""3""","""3""","""2""","""3""",6,2,"""1""","""4""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""2""","""2""","""2""","""2""",2,"""1""",7.599999999999996,22,22,10,6,48,-42,False,False
304,"""2""","""2""","""13""","""1""","""3""","""2""","""1""","""1""","""1""",3,1,"""4""","""1""","""2""","""1""","""2""","""3""","""2""","""NaN""","""NaN""","""0""","""1""",2,"""2""",12.366666666666667,2,21,14,18,18,0,False,False
1912,"""2""","""2""","""96""","""4""","""2""","""2""","""4""","""2""","""1""",9,2,"""1""","""4""","""2""","""1""","""3""","""3""","""3""","""NaN""","""NaN""","""0""","""2""",1,"""1""",5.133333333333337,3,28,6,9,27,-18,False,False
392,"""2""","""4""","""16""","""100""","""2""","""2""","""1""","""2""","""2""",6,1,"""2""","""2""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""2""","""3""","""0""","""1""",2,"""1""",14.266666666666673,8,34,12,10,44,-34,False,False
841,"""2""","""2""","""16""","""1""","""2""","""1""","""3""","""2""","""2""",7,5,"""2""","""4""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""3""","""3""","""1""","""1""",3,"""2""",8.116666666666669,5,43,6,5,49,-44,False,False
1704,"""2""","""4""","""34""","""2""","""2""","""1""","""2""","""1""","""1""",5,1,"""2""","""2""","""3""","""2""","""1""","""2""","""3""","""NaN""","""NaN""","""0""","""1""",3,"""2""",12.06666666666667,2,27,8,11,25,-14,False,False
1628,"""2""","""5""","""4""","""100""","""2""","""2""","""3""","""2""","""2""",5,5,"""2""","""2""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""3""","""3""","""0""","""1""",2,"""2""",5.966666666666667,4,45,5,4,50,-46,False,False
982,"""2""","""2""","""29""","""1""","""2""","""1""","""3""","""1""","""1""",7,1,"""2""","""4""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""1""","""3""","""0""","""2""",4,"""3""",16.73333333333334,6,30,18,9,45,-36,False,False
922,"""2""","""2""","""-99""","""3""","""2""","""2""","""3""","""2""","""2""",2,2,"""4""","""4""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""3""","""2""","""1""","""2""",2,"""3""",23.849999999999994,9,32,13,0,54,-54,False,False
2355,"""1""","""1""","""1""","""1""","""1""","""1""","""5""","""3""","""4""",9,1,"""4""","""5""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""3""","""2""","""-1""","""2""",4,"""3""",12.25000000000001,4,34,16,25,29,-4,False,False
2532,"""1""","""2""","""1""","""1""","""4""","""2""","""1""","""1""","""1""",7,1,"""4""","""5""","""2""","""2""","""2""","""2""","""3""","""NaN""","""NaN""","""-1""","""1""",4,"""1""",14.3,2,16,18,17,19,-2,False,False
942,"""2""","""2""","""11""","""3""","""1""","""1""","""4""","""3""","""4""",7,1,"""1""","""2""","""3""","""2""","""3""","""4""","""2""","""NaN""","""NaN""","""1""","""1""",2,"""3""",7.916666666666668,1,29,7,12,24,-12,False,False
210,"""2""","""1""","""11""","""1""","""1""","""1""","""4""","""4""","""4""",8,3,"""2""","""4""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""1""","""1""","""0""","""1""",4,"""3""",14.483333333333333,2,21,31,18,36,-18,False,False
1082,"""2""","""2""","""16""","""3""","""1""","""1""","""4""","""3""","""2""",6,1,"""4""","""4""","""2""","""1""","""2""","""3""","""3""","""NaN""","""NaN""","""1""","""1""",3,"""2""",11.599999999999996,5,19,13,11,25,-14,False,False
2471,"""2""","""2""","""11""","""3""","""2""","""3""","""2""","""2""","""3""",5,1,"""2""","""2""","""3""","""2""","""2""","""3""","""3""","""NaN""","""NaN""","""1""","""2""",3,"""1""",9.249999999999996,4,22,11,5,31,-26,False,False
1151,"""2""","""2""","""11""","""3""","""1""","""1""","""3""","""2""","""2""",6,2,"""4""","""2""","""2""","""1""","""3""","""2""","""3""","""NaN""","""NaN""","""0""","""1""",,"""1""",25.216666666666647,3,27,7,13,23,-10,False,False
160,"""2""","""2""","""-98""","""1""","""2""","""2""","""3""","""1""","""1""",7,3,"""2""","""2""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""3""","""3""","""0""","""1""",3,"""3""",5.983333333333333,9,44,1,6,48,-42,False,False
2153,"""1""","""4""","""20""","""3""","""2""","""1""","""4""","""4""","""2""",7,1,"""4""","""1""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""1""","""3""","""-1""","""1""",3,"""NaN""",12.733333333333347,9,33,12,15,39,-24,False,False
880,"""2""","""3""","""11""","""3""","""3""","""2""","""3""","""2""","""2""",5,3,"""1""","""2""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""1""","""1""","""0""","""2""",4,"""1""",23.20000000000001,10,25,19,5,49,-44,False,False
1318,"""2""","""4""","""1""","""1""","""2""","""1""","""3""","""1""","""2""",8,1,"""4""","""1""","""2""","""2""","""1""","""4""","""3""","""NaN""","""NaN""","""0""","""1""",4,"""3""",18.316666666666663,2,19,11,12,19,-7,False,False
481,"""2""","""2""","""16""","""1""","""2""","""1""","""2""","""1""","""4""",1,1,"""1""","""4""","""2""","""2""","""2""","""3""","""3""","""NaN""","""NaN""","""0""","""1""",4,"""2""",39.81666666666666,3,26,8,15,21,-6,False,False
441,"""2""","""4""","""16""","""1""","""1""","""1""","""4""","""1""","""1""",5,1,"""1""","""1""","""2""","""2""","""3""","""3""","""3""","""NaN""","""NaN""","""0""","""2""",3,"""3""",20.516666666666662,2,32,3,18,18,0,False,False
1844,"""1""","""4""","""13""","""100""","""1""","""1""","""3""","""1""","""1""",7,6,"""2""","""2""","""1""","""2""","""4""","""2""","""1""","""NaN""","""NaN""","""-1""","""2""",3,"""2""",13.649999999999995,4,29,3,13,23,-10,False,False
1008,"""2""","""4""","""16""","""4""","""2""","""2""","""2""","""2""","""3""",3,2,"""2""","""2""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""3""","""2""","""0""","""2""",4,"""NaN""",11.466666666666665,8,35,11,4,50,-46,False,False
535,"""1""","""2""","""28""","""1""","""2""","""1""","""2""","""1""","""1""",5,,"""5""","""-98""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""2""","""-98""","""-1""","""2""",4,"""NaN""",20.449999999999996,11,20,9,9,31,-22,False,False
1763,"""2""","""2""","""30""","""3""","""2""","""1""","""3""","""1""","""1""",5,5,"""4""","""4""","""2""","""1""","""2""","""3""","""3""","""NaN""","""NaN""","""1""","""2""",1,"""2""",6.800000000000005,7,23,7,11,25,-14,False,False
1271,"""2""","""4""","""11""","""100""","""3""","""2""","""2""","""1""","""1""",4,3,"""2""","""2""","""3""","""2""","""2""","""4""","""2""","""NaN""","""NaN""","""0""","""2""",2,"""1""",14.816666666666675,2,27,8,10,26,-16,False,False
1973,"""2""","""2""","""1""","""3""","""1""","""3""","""5""","""1""","""1""",3,1,"""2""","""2""","""1""","""2""","""4""","""1""","""3""","""NaN""","""NaN""","""0""","""2""",2,"""2""",6.433333333333332,2,30,5,19,18,1,True,False
1243,"""2""","""4""","""11""","""3""","""2""","""1""","""1""","""2""","""1""",3,2,"""4""","""4""","""2""","""2""","""4""","""1""","""3""","""NaN""","""NaN""","""1""","""1""",3,"""2""",33.14999999999999,1,25,11,15,21,-6,False,False
1515,"""2""","""4""","""6""","""100""","""3""","""2""","""1""","""1""","""2""",2,2,"""2""","""2""","""2""","""2""","""3""","""4""","""2""","""NaN""","""NaN""","""0""","""2""",3,"""1""",9.649999999999997,0,26,11,11,25,-14,False,False
172,"""2""","""2""","""5""","""3""","""2""","""2""","""4""","""3""","""3""",10,6,"""2""","""1""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""4""","""4""","""1""","""2""",2,"""2""",8.966666666666667,0,50,4,32,22,10,True,False
272,"""2""","""2""","""1""","""3""","""2""","""2""","""4""","""3""","""2""",8,3,"""4""","""2""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""2""","""3""","""0""","""1""",3,"""1""",6.766666666666669,13,31,10,3,51,-48,False,False
748,"""2""","""2""","""11""","""100""","""2""","""1""","""3""","""1""","""1""",7,1,"""4""","""1""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""1""","""2""","""0""","""1""",4,"""3""",32.53333333333332,21,18,15,10,44,-34,False,False
1345,"""2""","""4""","""16""","""2""","""2""","""1""","""3""","""2""","""2""",6,3,"""4""","""4""","""2""","""2""","""1""","""4""","""3""","""NaN""","""NaN""","""0""","""1""",4,"""1""",10.416666666666663,3,21,13,8,28,-20,False,False
890,"""2""","""1""","""16""","""-98""","""1""","""1""","""2""","""2""","""2""",3,5,"""1""","""1""","""3""","""1""","""4""","""3""","""3""","""NaN""","""NaN""","""0""","""2""",4,"""2""",23.683333333333344,3,30,4,20,16,4,True,True
1788,"""2""","""4""","""16""","""1""","""1""","""1""","""2""","""2""","""2""",5,1,"""2""","""1""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""1""","""4""","""1""","""2""",4,"""1""",11.303333333333343,6,29,19,13,41,-28,False,False
2417,"""2""","""4""","""19""","""1""","""2""","""1""","""1""","""2""","""2""",4,2,"""2""","""4""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""2""","""3""","""2""","""1""",2,"""1""",11.483333333333324,8,34,12,5,49,-44,False,False
439,"""2""","""2""","""18""","""3""","""1""","""2""","""4""","""3""","""3""",7,7,"""4""","""4""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""3""","""3""","""1""","""1""",1,"""2""",8.083333333333336,5,36,13,6,48,-42,False,False
764,"""2""","""2""","""1""","""1""","""2""","""2""","""3""","""2""","""2""",5,1,"""2""","""2""","""3""","""2""","""1""","""4""","""2""","""NaN""","""NaN""","""0""","""1""",3,"""1""",5.783333333333337,5,27,5,1,35,-34,False,False
1987,"""2""","""4""","""19""","""-98""","""3""","""2""","""2""","""2""","""2""",1,2,"""1""","""1""","""3""","""2""","""2""","""2""","""3""","""NaN""","""NaN""","""1""","""2""",3,"""2""",10.85000000000001,3,26,8,9,27,-18,False,True
617,"""2""","""5""","""11""","""3""","""2""","""1""","""1""","""1""","""1""",3,1,"""2""","""1""","""3""","""-98""","""2""","""2""","""2""","""NaN""","""NaN""","""0""","""1""",4,"""3""",19.823333333333338,2,26,7,17,17,0,False,False
1326,"""2""","""2""","""5""","""1""","""1""","""1""","""3""","""2""","""2""",7,1,"""2""","""2""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""3""","""2""","""1""","""2""",2,"""3""",8.58333333333334,10,40,4,6,48,-42,False,False
887,"""2""","""1""","""1""","""1""","""2""","""1""","""3""","""1""","""1""",10,1,"""1""","""1""","""3""","""1""","""3""","""4""","""2""","""NaN""","""NaN""","""0""","""1""",2,"""1""",13.466666666666658,4,25,8,18,18,0,False,False
1470,"""2""","""1""","""16""","""100""","""2""","""2""","""3""","""1""","""1""",3,3,"""1""","""1""","""2""","""2""","""1""","""3""","""3""","""NaN""","""NaN""","""2""","""2""",3,"""2""",12.98333333333333,4,30,3,17,20,-3,False,False
475,"""2""","""1""","""1""","""3""","""1""","""3""","""4""","""2""","""2""",2,5,"""4""","""2""","""3""","""1""","""2""","""4""","""2""","""NaN""","""NaN""","""1""","""2""",2,"""1""",4.450000000000001,2,27,8,13,23,-10,False,False
2490,"""2""","""2""","""26""","""1""","""2""","""2""","""2""","""1""","""2""",5,1,"""2""","""2""","""1""","""2""","""3""","""1""","""3""","""NaN""","""NaN""","""0""","""2""",2,"""1""",8.649999999999997,1,29,7,13,23,-10,False,False
433,"""2""","""2""","""20""","""3""","""2""","""2""","""3""","""1""","""1""",5,1,"""1""","""2""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""4""","""4""","""2""","""2""",,"""1""",6.866666666666664,9,38,6,27,26,1,True,False
845,"""2""","""4""","""16""","""4""","""2""","""2""","""2""","""2""","""2""",3,1,"""2""","""2""","""1""","""2""","""3""","""2""","""3""","""NaN""","""NaN""","""0""","""1""",4,"""1""",11.633333333333335,1,28,8,8,28,-20,False,False
1563,"""2""","""2""","""35""","""4""","""2""","""2""","""2""","""2""","""3""",7,9,"""5""","""4""","""1""","""2""","""3""","""1""","""3""","""NaN""","""NaN""","""1""","""2""",2,"""1""",6.150000000000001,1,30,6,12,24,-12,False,False
1977,"""2""","""2""","""11""","""4""","""1""","""1""","""4""","""3""","""2""",5,1,"""4""","""1""","""2""","""1""","""2""","""2""","""3""","""NaN""","""NaN""","""0""","""1""",,"""1""",9.416666666666675,3,26,8,12,24,-12,False,False
1560,"""2""","""4""","""11""","""4""","""1""","""2""","""4""","""2""","""3""",6,1,"""1""","""2""","""2""","""1""","""2""","""1""","""2""","""NaN""","""NaN""","""0""","""1""",2,"""1""",6.316666666666666,1,27,9,17,19,-2,False,False
1761,"""2""","""2""","""1""","""3""","""2""","""2""","""4""","""2""","""2""",6,1,"""2""","""4""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""3""","""2""","""1""","""2""",2,"""2""",8.71666666666667,15,29,10,4,50,-46,False,False
1985,"""2""","""4""","""96""","""100""","""4""","""4""","""1""","""1""","""1""",1,1,"""2""","""1""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""2""","""1""","""1""","""2""",2,"""2""",3.900000000000001,11,29,14,28,26,2,True,False
1361,"""2""","""2""","""35""","""3""","""1""","""1""","""3""","""3""","""4""",8,6,"""2""","""2""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""2""","""3""","""2""","""2""",4,"""3""",15.283333333333335,16,33,5,7,47,-40,False,False
1204,"""2""","""4""","""29""","""2""","""1""","""1""","""4""","""2""","""4""",8,1,"""2""","""4""","""2""","""1""","""2""","""4""","""2""","""NaN""","""NaN""","""1""","""1""",2,"""1""",16.21666666666666,2,26,9,11,25,-14,False,False
1206,"""2""","""2""","""1""","""3""","""3""","""1""","""3""","""1""","""2""",5,1,"""4""","""2""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""2""","""2""","""0""","""2""",3,"""3""",8.733333333333338,13,29,12,7,47,-40,False,False
1948,"""2""","""2""","""13""","""1""","""3""","""1""","""2""","""3""","""3""",8,1,"""4""","""1""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""2""","""3""","""0""","""2""",3,"""1""",27.900000000000002,18,22,14,8,46,-38,False,False
1279,"""2""","""5""","""11""","""4""","""1""","""2""","""1""","""1""","""1""",2,1,"""1""","""2""","""2""","""1""","""3""","""3""","""2""","""NaN""","""NaN""","""0""","""1""",4,"""1""",8.816666666666663,1,30,6,16,20,-4,False,False
560,"""2""","""2""","""-98""","""1""","""2""","""1""","""4""","""2""","""2""",7,3,"""4""","""4""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""3""","""3""","""1""","""2""",1,"""1""",6.266666666666667,10,33,11,6,48,-42,False,False
1840,"""2""","""2""","""20""","""100""","""1""","""1""","""3""","""4""","""3""",8,1,"""1""","""2""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""-98""","""-98""","""0""","""2""",4,"""NaN""",20.833333333333336,6,20,4,13,17,-4,False,False
1050,"""1""","""2""","""1""","""100""","""2""","""1""","""4""","""2""","""3""",6,,"""4""","""-99""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""3""","""1""","""-1""","""2""",4,"""3""",22.61666666666664,4,22,14,4,36,-32,False,False
2374,"""2""","""1""","""34""","""100""","""1""","""1""","""1""","""2""","""3""",8,3,"""1""","""2""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""1""","""1""","""1""","""1""",4,"""1""",15.783333333333337,0,27,27,18,36,-18,False,False
936,"""2""","""4""","""11""","""3""","""1""","""1""","""4""","""2""","""3""",7,1,"""2""","""2""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""3""","""3""","""0""","""1""",4,"""1""",8.599999999999996,7,43,4,6,48,-42,False,False
1138,"""2""","""2""","""11""","""3""","""2""","""1""","""4""","""1""","""2""",7,1,"""1""","""1""","""2""","""2""","""2""","""3""","""3""","""NaN""","""NaN""","""0""","""1""",4,"""1""",9.033333333333324,4,27,6,10,26,-16,False,False
2337,"""2""","""2""","""4""","""3""","""1""","""2""","""1""","""1""","""1""",6,3,"""2""","""1""","""3""","""2""","""3""","""3""","""2""","""NaN""","""NaN""","""1""","""1""",1,"""1""",9.350000000000009,2,29,6,20,16,4,True,False
2265,"""2""","""2""","""35""","""1""","""3""","""1""","""4""","""4""","""4""",5,2,"""5""","""5""","""2""","""1""","""1""","""4""","""3""","""NaN""","""NaN""","""2""","""1""",4,"""2""",18.16666666666665,4,16,17,21,15,6,True,False
41,"""2""","""2""","""13""","""3""","""2""","""2""","""4""","""2""","""1""",3,3,"""2""","""2""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""3""","""3""","""1""","""1""",2,"""1""",6.299999999999997,8,42,4,3,51,-48,False,False
2613,"""2""","""4""","""16""","""4""","""4""","""2""","""1""","""2""","""2""",3,1,"""1""","""1""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""2""","""2""","""0""","""2""",3,"""NaN""",36.78333333333333,20,28,6,9,45,-36,False,False
694,"""2""","""2""","""1""","""3""","""2""","""2""","""3""","""2""","""3""",6,3,"""4""","""2""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""3""","""2""","""1""","""2""",3,"""1""",9.316666666666661,11,33,10,0,54,-54,False,False
127,"""2""","""2""","""15""","""1""","""1""","""1""","""5""","""3""","""4""",8,1,"""4""","""2""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""4""","""2""","""1""","""1""",2,"""1""",14.43333333333334,6,37,11,29,25,4,True,False
1798,"""2""","""4""","""6""","""3""","""1""","""2""","""3""","""3""","""2""",7,5,"""2""","""2""","""2""","""1""","""3""","""2""","""3""","""NaN""","""NaN""","""0""","""1""",3,"""1""",20.349999999999994,3,26,8,6,30,-24,False,False
565,"""2""","""2""","""1""","""1""","""3""","""2""","""3""","""1""","""1""",7,6,"""2""","""2""","""3""","""2""","""2""","""3""","""3""","""NaN""","""NaN""","""0""","""1""",3,"""1""",11.300000000000015,8,25,3,9,26,-17,False,False
1954,"""2""","""2""","""5""","""4""","""2""","""1""","""3""","""2""","""3""",7,5,"""2""","""2""","""2""","""1""","""2""","""2""","""3""","""NaN""","""NaN""","""0""","""2""",2,"""1""",9.533333333333342,3,25,9,8,28,-20,False,False
1614,"""2""","""4""","""11""","""3""","""1""","""2""","""4""","""2""","""2""",8,1,"""1""","""4""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""2""","""3""","""0""","""1""",4,"""1""",14.233333333333338,8,37,9,8,46,-38,False,False
1853,"""2""","""4""","""16""","""3""","""3""","""1""","""3""","""2""","""3""",6,1,"""2""","""4""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""2""","""3""","""0""","""2""",4,"""3""",12.350000000000003,16,26,12,4,50,-46,False,False
31,"""1""","""2""","""13""","""100""","""2""","""2""","""4""","""1""","""2""",6,3,"""5""","""5""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""2""","""2""","""-1""","""1""",4,"""3""",17.566666666666666,17,27,10,8,46,-38,False,False
136,"""2""","""2""","""1""","""1""","""2""","""1""","""3""","""1""","""3""",5,1,"""4""","""2""","""2""","""2""","""3""","""2""","""3""","""NaN""","""NaN""","""1""","""2""",2,"""1""",10.399999999999995,2,24,11,8,28,-20,False,False
624,"""2""","""1""","""11""","""3""","""2""","""2""","""2""","""2""","""1""",5,5,"""4""","""2""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""3""","""3""","""1""","""1""",4,"""1""",13.099999999999989,7,38,9,12,42,-30,False,False
341,"""2""","""2""","""1""","""100""","""2""","""1""","""4""","""3""","""3""",5,2,"""4""","""2""","""3""","""2""","""2""","""3""","""3""","""NaN""","""NaN""","""1""","""1""",2,"""1""",8.033333333333339,5,20,12,6,30,-24,False,False
1921,"""1""","""2""","""-98""","""3""","""1""","""1""","""4""","""1""","""2""",5,4,"""2""","""2""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""2""","""3""","""-1""","""1""",,"""3""",13.683333333333337,4,43,7,10,44,-34,False,False
1908,"""2""","""2""","""1""","""100""","""2""","""1""","""4""","""1""","""1""",8,5,"""2""","""1""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""2""","""3""","""0""","""2""",1,"""1""",23.466666666666637,10,40,4,14,40,-26,False,False
630,"""2""","""4""","""11""","""100""","""2""","""1""","""4""","""3""","""2""",7,3,"""4""","""2""","""2""","""2""","""2""","""3""","""2""","""NaN""","""NaN""","""1""","""1""",2,"""1""",9.283333333333342,3,23,11,6,30,-24,False,False
1893,"""2""","""2""","""1""","""4""","""1""","""1""","""4""","""2""","""2""",6,6,"""2""","""2""","""2""","""1""","""2""","""3""","""3""","""NaN""","""NaN""","""1""","""2""",2,"""1""",8.566666666666672,5,29,3,10,26,-16,False,False
197,"""2""","""4""","""13""","""1""","""3""","""1""","""2""","""1""","""2""",6,1,"""2""","""2""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""2""","""3""","""0""","""2""",3,"""2""",9.849999999999998,9,38,7,12,42,-30,False,False
731,"""2""","""5""","""1""","""100""","""1""","""1""","""2""","""1""","""1""",6,4,"""2""","""4""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""4""","""1""","""1""","""1""",3,"""3""",29.53333333333334,4,32,18,18,36,-18,False,False
445,"""2""","""2""","""96""","""1""","""1""","""1""","""3""","""2""","""2""",5,3,"""4""","""4""","""2""","""1""","""2""","""3""","""-98""","""NaN""","""NaN""","""2""","""1""",3,"""2""",12.100000000000005,4,23,9,12,23,-11,False,False
1823,"""2""","""1""","""29""","""1""","""1""","""1""","""4""","""2""","""3""",9,6,"""4""","""2""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""1""","""2""","""0""","""1""",4,"""3""",19.283333333333342,10,28,16,20,34,-14,False,False
967,"""2""","""2""","""13""","""1""","""2""","""1""","""3""","""3""","""3""",5,2,"""4""","""4""","""2""","""1""","""2""","""3""","""2""","""NaN""","""NaN""","""1""","""2""",2,"""2""",16.000000000000004,4,18,15,9,27,-18,False,False
1148,"""2""","""2""","""5""","""3""","""2""","""2""","""3""","""2""","""4""",7,4,"""2""","""4""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""3""","""3""","""2""","""2""",3,"""3""",11.45,6,40,8,3,51,-48,False,False
1637,"""2""","""1""","""29""","""1""","""3""","""3""","""2""","""1""","""1""",6,3,"""1""","""1""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""4""","""3""","""1""","""2""",4,"""1""",15.6,0,44,10,36,18,18,True,False
177,"""2""","""4""","""1""","""3""","""1""","""1""","""4""","""2""","""2""",8,2,"""5""","""2""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""3""","""1""","""1""","""1""",2,"""1""",9.766666666666673,3,37,14,9,45,-36,False,False
1460,"""2""","""2""","""16""","""3""","""2""","""1""","""3""","""2""","""3""",7,5,"""1""","""4""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""2""","""2""","""2""","""2""",3,"""2""",31.783333333333296,17,32,5,7,47,-40,False,False
1860,"""2""","""2""","""16""","""100""","""3""","""2""","""2""","""2""","""2""",3,3,"""2""","""2""","""1""","""2""","""2""","""2""","""2""","""NaN""","""NaN""","""0""","""1""",3,"""3""",14.133333333333333,2,27,8,6,30,-24,False,False
364,"""2""","""5""","""32""","""1""","""1""","""1""","""4""","""1""","""1""",6,1,"""2""","""1""","""2""","""2""","""2""","""3""","""3""","""NaN""","""NaN""","""0""","""1""",4,"""1""",24.46666666666666,3,27,6,17,18,-1,False,False
1074,"""2""","""5""","""13""","""2""","""1""","""1""","""3""","""1""","""1""",5,1,"""2""","""5""","""3""","""2""","""2""","""4""","""3""","""NaN""","""NaN""","""1""","""2""",3,"""2""",11.300000000000002,4,27,6,22,14,8,True,False
1913,"""2""","""4""","""11""","""2""","""1""","""1""","""4""","""3""","""3""",9,8,"""2""","""4""","""2""","""1""","""3""","""3""","""2""","""NaN""","""NaN""","""0""","""1""",3,"""1""",17.73333333333333,1,23,13,11,25,-14,False,False
