srcid,Mode,Q1,Q2,Q4,Q5a,Q5f,Q6c,Q7a,Q7c,Q8a,Q8d,Q10a,Q10d,Q11,Q11a,Q12,Q14,Q15,Q16,Q18,sDevType,p_gender_sdc,p_age_group_sdc,p_education_sdc,total_time_taken,neutral_count,disagree_count,agree_count,very_count,just_count,vmj_count,opinionated,undecided_voter
1424,"""2""","""4""","""1""","""3""","""3""","""1""","""2""","""2""","""2""",6,4,"""2""","""2""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""3""","""2""","""0""","""2""",3,"""2""",21.116666666666653,16,28,10,6,48,-42,False,False
719,"""2""","""4""","""16""","""3""","""1""","""2""","""2""","""4""","""1""",4,2,"""1""","""1""","""2""","""1""","""2""","""3""","""3""","""NaN""","""NaN""","""1""","""1""",1,"""2""",24.583333333333318,3,24,10,21,15,6,True,False
512,"""2""","""2""","""17""","""1""","""2""","""1""","""2""","""1""","""1""",5,1,"""2""","""2""","""3""","""2""","""3""","""2""","""2""","""NaN""","""NaN""","""2""","""2""",3,"""2""",17.016666666666644,1,32,4,14,22,-8,False,False
503,"""2""","""4""","""13""","""-98""","""2""","""1""","""1""","""1""","""1""",2,1,"""1""","""1""","""1""","""2""","""2""","""4""","""1""","""NaN""","""NaN""","""2""","""2""",4,"""2""",10.516666666666659,1,27,9,25,11,14,True,True
1179,"""1""","""4""","""32""","""1""","""1""","""1""","""1""","""1""","""1""",4,2,"""-98""","""5""","""2""","""1""","""3""","""1""","""3""","""NaN""","""NaN""","""-1""","""1""",4,"""3""",17.816666666666674,1,20,12,24,9,15,True,False
822,"""2""","""4""","""16""","""3""","""4""","""2""","""2""","""2""","""2""",4,2,"""2""","""2""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""2""","""1""","""0""","""1""",4,"""1""",10.766666666666664,8,27,19,7,47,-40,False,False
794,"""2""","""2""","""16""","""4""","""3""","""1""","""3""","""1""","""2""",4,1,"""1""","""2""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""3""","""2""","""0""","""2""",3,"""2""",17.63333333333334,10,34,10,15,39,-24,False,False
1164,"""2""","""4""","""-98""","""1""","""2""","""2""","""3""","""2""","""3""",6,4,"""4""","""2""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""2""","""-98""","""1""","""2""",1,"""1""",15.766666666666682,13,24,9,3,43,-40,False,False
1360,"""1""","""1""","""1""","""1""","""1""","""1""","""5""","""4""","""3""",7,7,"""5""","""5""","""2""","""1""","""3""","""1""","""3""","""NaN""","""NaN""","""-1""","""1""",4,"""3""",14.049999999999994,1,21,14,24,12,12,True,False
283,"""2""","""4""","""29""","""3""","""2""","""1""","""4""","""1""","""1""",5,3,"""1""","""1""","""1""","""2""","""1""","""1""","""1""","""NaN""","""NaN""","""1""","""1""",2,"""3""",22.39666666666669,0,35,2,28,8,20,True,False
1556,"""2""","""2""","""11""","""3""","""2""","""2""","""2""","""2""","""2""",6,1,"""2""","""2""","""1""","""2""","""1""","""3""","""2""","""NaN""","""NaN""","""0""","""1""",4,"""3""",7.049999999999997,1,28,8,2,34,-32,False,False
104,"""2""","""4""","""13""","""100""","""2""","""2""","""5""","""1""","""1""",3,1,"""1""","""1""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""3""","""3""","""0""","""1""",3,"""1""",11.11666666666667,4,48,2,21,33,-12,False,False
1662,"""2""","""2""","""96""","""1""","""1""","""1""","""4""","""1""","""2""",9,2,"""4""","""1""","""1""","""1""","""4""","""2""","""3""","""NaN""","""NaN""","""2""","""2""",4,"""2""",40.79999999999999,1,29,7,18,18,0,False,False
1557,"""2""","""4""","""4""","""3""","""2""","""-99""","""5""","""2""","""2""",1,1,"""2""","""1""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""2""","""-98""","""1""","""1""",1,"""2""",24.050000000000008,8,20,5,5,28,-23,False,False
1421,"""2""","""2""","""20""","""3""","""2""","""1""","""2""","""3""","""1""",5,4,"""4""","""2""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""4""","""3""","""1""","""1""",,"""2""",5.883333333333334,4,40,10,12,42,-30,False,False
1092,"""2""","""2""","""4""","""3""","""2""","""1""","""4""","""2""","""4""",8,5,"""1""","""4""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""2""","""2""","""0""","""2""",2,"""1""",9.366666666666667,16,25,13,12,42,-30,False,False
1627,"""2""","""4""","""20""","""4""","""1""","""3""","""2""","""1""","""1""",2,1,"""2""","""2""","""3""","""1""","""3""","""3""","""2""","""NaN""","""NaN""","""0""","""2""",3,"""1""",6.483333333333332,2,25,10,7,29,-22,False,False
1641,"""2""","""2""","""11""","""4""","""2""","""1""","""4""","""2""","""2""",5,2,"""2""","""2""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""3""","""2""","""1""","""2""",2,"""1""",32.56666666666667,14,38,2,10,44,-34,False,False
32,"""2""","""2""","""19""","""3""","""2""","""2""","""4""","""3""","""3""",9,5,"""2""","""2""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""3""","""2""","""0""","""2""",3,"""1""",8.26666666666667,7,41,6,3,51,-48,False,False
1240,"""2""","""4""","""29""","""1""","""2""","""1""","""3""","""3""","""4""",5,2,"""4""","""2""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""1""","""3""","""0""","""2""",2,"""1""",18.833333333333325,10,26,18,6,48,-42,False,False
680,"""2""","""2""","""11""","""1""","""2""","""1""","""3""","""3""","""3""",7,1,"""4""","""2""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""1""","""2""","""2""","""1""",4,"""3""",24.300000000000026,23,19,12,4,50,-46,False,False
1705,"""2""","""2""","""1""","""3""","""2""","""1""","""4""","""2""","""3""",8,8,"""2""","""4""","""3""","""1""","""4""","""2""","""3""","""NaN""","""NaN""","""0""","""2""",2,"""2""",16.116666666666674,3,24,10,8,28,-20,False,False
578,"""2""","""2""","""1""","""-98""","""2""","""1""","""4""","""3""","""4""",8,2,"""2""","""4""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""3""","""4""","""1""","""2""",2,"""2""",30.63333333333331,5,43,6,15,39,-24,False,True
1682,"""1""","""2""","""1""","""2""","""2""","""4""","""2""","""3""","""2""",7,1,"""4""","""4""","""2""","""1""","""2""","""2""","""3""","""NaN""","""NaN""","""-1""","""2""",4,"""3""",13.549999999999988,2,21,13,14,22,-8,False,False
2023,"""2""","""2""","""1""","""-98""","""2""","""1""","""3""","""3""","""4""",9,8,"""1""","""4""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""3""","""3""","""0""","""2""",3,"""2""",12.399999999999999,4,43,7,7,47,-40,False,True
529,"""2""","""2""","""36""","""100""","""2""","""1""","""3""","""1""","""2""",8,5,"""4""","""1""","""1""","""2""","""3""","""1""","""3""","""NaN""","""NaN""","""0""","""1""",3,"""2""",19.766666666666627,4,30,3,15,21,-6,False,False
1891,"""2""","""4""","""11""","""3""","""2""","""2""","""3""","""3""","""2""",8,2,"""4""","""2""","""2""","""2""","""2""","""3""","""2""","""NaN""","""NaN""","""0""","""2""",2,"""1""",12.25,5,20,12,6,30,-24,False,False
1156,"""1""","""5""","""16""","""100""","""1""","""2""","""1""","""1""","""1""",4,1,"""4""","""1""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""1""","""3""","""-1""","""2""",3,"""NaN""",17.88333333333334,2,28,22,15,37,-22,False,False
1800,"""2""","""2""","""4""","""1""","""2""","""2""","""4""","""3""","""4""",8,5,"""4""","""4""","""2""","""2""","""3""","""2""","""3""","""NaN""","""NaN""","""1""","""1""",2,"""3""",17.449999999999996,2,22,13,4,32,-28,False,False
27,"""1""","""2""","""17""","""-98""","""1""","""1""","""3""","""3""","""1""",8,2,"""4""","""4""","""2""","""2""","""2""","""3""","""-98""","""NaN""","""NaN""","""-1""","""1""",4,"""2""",12.350000000000009,4,14,11,7,22,-15,False,True
2538,"""2""","""2""","""16""","""3""","""3""","""2""","""4""","""4""","""4""",9,5,"""4""","""4""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""2""","""2""","""2""","""2""",2,"""1""",6.350000000000003,22,17,15,6,48,-42,False,False
556,"""2""","""2""","""12""","""4""","""1""","""1""","""3""","""1""","""1""",9,2,"""1""","""2""","""2""","""2""","""3""","""3""","""3""","""NaN""","""NaN""","""0""","""1""",2,"""1""",10.683333333333342,6,28,3,17,19,-2,False,False
442,"""2""","""4""","""30""","""3""","""2""","""2""","""3""","""3""","""3""",6,2,"""4""","""2""","""2""","""2""","""2""","""3""","""3""","""NaN""","""NaN""","""1""","""2""",3,"""3""",6.5500000000000025,6,17,14,5,31,-26,False,False
1965,"""2""","""2""","""-98""","""3""","""4""","""2""","""2""","""2""","""2""",7,6,"""4""","""2""","""2""","""1""","""3""","""2""","""3""","""NaN""","""NaN""","""0""","""2""",1,"""3""",7.18333333333333,1,24,12,5,31,-26,False,False
919,"""2""","""1""","""30""","""1""","""1""","""2""","""3""","""3""","""3""",9,7,"""1""","""4""","""2""","""1""","""2""","""3""","""3""","""NaN""","""NaN""","""1""","""2""",2,"""2""",7.9999999999999964,5,23,9,11,25,-14,False,False
1016,"""2""","""5""","""13""","""2""","""1""","""1""","""3""","""1""","""2""",5,1,"""4""","""1""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""1""","""1""","""0""","""2""",4,"""NaN""",14.3,7,26,21,16,38,-22,False,False
237,"""2""","""1""","""6""","""1""","""4""","""3""","""1""","""1""","""1""",3,1,"""1""","""1""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""4""","""3""","""1""","""1""",2,"""3""",13.000000000000007,8,34,12,29,25,4,True,False
46,"""1""","""4""","""5""","""100""","""2""","""3""","""1""","""2""","""2""",8,9,"""4""","""5""","""2""","""1""","""2""","""3""","""2""","""NaN""","""NaN""","""-1""","""2""",4,"""3""",14.350000000000005,3,17,16,14,22,-8,False,False
314,"""2""","""2""","""1""","""2""","""2""","""1""","""3""","""1""","""1""",8,8,"""4""","""4""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""1""","""3""","""1""","""1""",2,"""2""",11.133333333333328,5,28,21,7,47,-40,False,False
327,"""2""","""-98""","""16""","""-98""","""2""","""2""","""2""","""3""","""3""",4,1,"""2""","""4""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""1""","""3""","""1""","""1""",2,"""1""",25.000000000000007,5,29,19,8,45,-37,False,True
957,"""2""","""4""","""4""","""-98""","""-98""","""1""","""2""","""1""","""1""",5,1,"""2""","""4""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""4""","""-98""","""0""","""1""",1,"""2""",7.866666666666667,0,37,12,23,26,-3,False,True
1928,"""2""","""2""","""1""","""3""","""1""","""2""","""4""","""1""","""1""",8,2,"""1""","""2""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""3""","""2""","""1""","""1""",1,"""1""",9.649999999999999,10,40,4,14,40,-26,False,False
1832,"""2""","""2""","""16""","""1""","""2""","""2""","""3""","""3""","""3""",6,5,"""2""","""4""","""2""","""2""","""3""","""3""","""2""","""NaN""","""NaN""","""1""","""1""",3,"""2""",13.566666666666665,5,25,7,5,31,-26,False,False
1294,"""2""","""4""","""1""","""1""","""3""","""2""","""2""","""2""","""2""",5,1,"""4""","""2""","""3""","""1""","""2""","""3""","""2""","""NaN""","""NaN""","""0""","""1""",3,"""2""",8.716666666666677,3,18,16,5,31,-26,False,False
